,DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Energy(Wh),Date,Power(W),V1(V),T1(℃),Aux. ΔV(V),Aux. ΔT(℃)
2188,2189,1,6,CC Chg,00:05:52,00:36:21,0.00298,3.2669,0.00029,0.00095,2024-07-30 20:50:33,0.00974,3.2555,24.9,0,0
2189,2190,1,6,CC Chg,00:05:53,00:36:22,0.00298,3.2635,0.00029,0.00095,2024-07-30 20:50:34,0.00973,3.2586,24.8,0,0
2190,2191,1,6,CC Chg,00:05:54,00:36:23,0.00298,3.2598,0.00029,0.00096,2024-07-30 20:50:35,0.00972,3.2551,24.8,0,0
2191,2192,1,6,CC Chg,00:05:55,00:36:24,0.00298,3.2632,0.00029,0.00096,2024-07-30 20:50:36,0.00973,3.2586,24.9,0,0
2192,2193,1,6,CC Chg,00:05:56,00:36:25,0.00298,3.2586,0.00029,0.00096,2024-07-30 20:50:37,0.00972,3.2567,24.9,0,0
2193,2194,1,6,CC Chg,00:05:57,00:36:26,0.00298,3.2589,0.0003,0.00096,2024-07-30 20:50:38,0.00972,3.2529,25.0,0,0
2194,2195,1,6,CC Chg,00:05:58,00:36:27,0.00298,3.257,0.0003,0.00097,2024-07-30 20:50:39,0.00971,3.2566,24.9,0,0
2195,2196,1,6,CC Chg,00:05:59,00:36:28,0.00298,3.2648,0.0003,0.00097,2024-07-30 20:50:40,0.00974,3.2552,24.9,0,0
2196,2197,1,6,CC Chg,00:06:00,00:36:29,0.00298,3.2592,0.0003,0.00097,2024-07-30 20:50:41,0.00972,3.2521,24.9,0,0
2197,2198,1,6,CC Chg,00:06:01,00:36:30,0.00298,3.2669,0.0003,0.00097,2024-07-30 20:50:42,0.00974,3.2554,24.9,0,0
2198,2199,1,6,CC Chg,00:06:02,00:36:31,0.00298,3.2632,0.0003,0.00098,2024-07-30 20:50:43,0.00973,3.2557,24.7,0,0
2199,2200,1,6,CC Chg,00:06:03,00:36:32,0.00298,3.2601,0.0003,0.00098,2024-07-30 20:50:44,0.00972,3.2523,24.9,0,0
2200,2201,1,6,CC Chg,00:06:04,00:36:33,0.00298,3.2586,0.0003,0.00098,2024-07-30 20:50:45,0.00972,3.2614,24.8,0,0
2201,2202,1,6,CC Chg,00:06:05,00:36:34,0.00298,3.2573,0.0003,0.00099,2024-07-30 20:50:46,0.00971,3.2543,24.9,0,0
2202,2203,1,6,CC Chg,00:06:06,00:36:35,0.00298,3.2669,0.0003,0.00099,2024-07-30 20:50:47,0.00974,3.2544,25.0,0,0
2203,2204,1,6,CC Chg,00:06:07,00:36:36,0.00298,3.2589,0.0003,0.00099,2024-07-30 20:50:48,0.00972,3.2617,24.9,0,0
2204,2205,1,6,CC Chg,00:06:08,00:36:37,0.00298,3.2672,0.0003,0.00099,2024-07-30 20:50:49,0.00974,3.2552,24.9,0,0
2205,2206,1,6,CC Chg,00:06:09,00:36:38,0.00298,3.2579,0.00031,0.001,2024-07-30 20:50:50,0.00972,3.2543,24.9,0,0
2206,2207,1,6,CC Chg,00:06:10,00:36:39,0.00298,3.2676,0.00031,0.001,2024-07-30 20:50:51,0.00974,3.2597,24.9,0,0
2207,2208,1,6,CC Chg,00:06:11,00:36:40,0.00298,3.2598,0.00031,0.001,2024-07-30 20:50:52,0.00972,3.2581,24.9,0,0
2208,2209,1,6,CC Chg,00:06:12,00:36:41,0.00298,3.2626,0.00031,0.001,2024-07-30 20:50:53,0.00973,3.2558,24.7,0,0
2209,2210,1,6,CC Chg,00:06:13,00:36:42,0.00298,3.2583,0.00031,0.00101,2024-07-30 20:50:54,0.00972,3.256,24.9,0,0
2210,2211,1,6,CC Chg,00:06:14,00:36:43,0.00298,3.2579,0.00031,0.00101,2024-07-30 20:50:55,0.00972,3.2618,24.9,0,0
2211,2212,1,6,CC Chg,00:06:15,00:36:44,0.00298,3.2623,0.00031,0.00101,2024-07-30 20:50:56,0.00973,3.2575,24.9,0,0
2212,2213,1,6,CC Chg,00:06:16,00:36:45,0.00298,3.257,0.00031,0.00102,2024-07-30 20:50:57,0.00971,3.2551,24.9,0,0
2213,2214,1,6,CC Chg,00:06:17,00:36:46,0.00298,3.2651,0.00031,0.00102,2024-07-30 20:50:58,0.00974,3.2589,24.9,0,0
2214,2215,1,6,CC Chg,00:06:18,00:36:47,0.00298,3.2598,0.00031,0.00102,2024-07-30 20:50:59,0.00972,3.2572,24.9,0,0
2215,2216,1,6,CC Chg,00:06:19,00:36:48,0.00298,3.2626,0.00031,0.00102,2024-07-30 20:51:00,0.00973,3.2547,24.9,0,0
2216,2217,1,6,CC Chg,00:06:20,00:36:49,0.00298,3.2589,0.00031,0.00103,2024-07-30 20:51:01,0.00972,3.2534,24.7,0,0
2217,2218,1,6,CC Chg,00:06:21,00:36:50,0.00298,3.2567,0.00032,0.00103,2024-07-30 20:51:02,0.00971,3.26,24.9,0,0
2218,2219,1,6,CC Chg,00:06:22,00:36:51,0.00298,3.2663,0.00032,0.00103,2024-07-30 20:51:03,0.00974,3.2575,24.9,0,0
2219,2220,1,6,CC Chg,00:06:23,00:36:52,0.00298,3.2626,0.00032,0.00103,2024-07-30 20:51:04,0.00973,3.254,24.9,0,0
2220,2221,1,6,CC Chg,00:06:24,00:36:53,0.00298,3.2666,0.00032,0.00104,2024-07-30 20:51:05,0.00974,3.2578,24.9,0,0
2221,2222,1,6,CC Chg,00:06:25,00:36:54,0.00298,3.2607,0.00032,0.00104,2024-07-30 20:51:06,0.00972,3.2577,24.9,0,0
2222,2223,1,6,CC Chg,00:06:26,00:36:55,0.00298,3.2669,0.00032,0.00104,2024-07-30 20:51:07,0.00974,3.2554,24.9,0,0
2223,2224,1,6,CC Chg,00:06:27,00:36:56,0.00298,3.2592,0.00032,0.00104,2024-07-30 20:51:08,0.00972,3.2584,24.9,0,0
2224,2225,1,6,CC Chg,00:06:28,00:36:57,0.00298,3.2607,0.00032,0.00105,2024-07-30 20:51:09,0.00972,3.2587,24.9,0,0
2225,2226,1,6,CC Chg,00:06:29,00:36:58,0.00298,3.2629,0.00032,0.00105,2024-07-30 20:51:10,0.00973,3.254,24.9,0,0
2226,2227,1,6,CC Chg,00:06:30,00:36:59,0.00298,3.2573,0.00032,0.00105,2024-07-30 20:51:11,0.00971,3.2552,24.9,0,0
2227,2228,1,6,CC Chg,00:06:31,00:37:00,0.00298,3.2623,0.00032,0.00106,2024-07-30 20:51:12,0.00973,3.2534,24.9,0,0
2228,2229,1,6,CC Chg,00:06:32,00:37:01,0.00298,3.2573,0.00032,0.00106,2024-07-30 20:51:13,0.00971,3.2583,24.9,0,0
2229,2230,1,6,CC Chg,00:06:33,00:37:02,0.00298,3.2654,0.00033,0.00106,2024-07-30 20:51:14,0.00974,3.2551,24.9,0,0
2230,2231,1,6,CC Chg,00:06:34,00:37:03,0.00298,3.2601,0.00033,0.00106,2024-07-30 20:51:15,0.00972,3.2521,24.9,0,0
2231,2232,1,6,CC Chg,00:06:35,00:37:04,0.00298,3.2672,0.00033,0.00107,2024-07-30 20:51:16,0.00974,3.2651,24.9,0,0
2232,2233,1,6,CC Chg,00:06:36,00:37:05,0.00298,3.2607,0.00033,0.00107,2024-07-30 20:51:17,0.00972,3.2581,24.9,0,0
2233,2234,1,6,CC Chg,00:06:37,00:37:06,0.00298,3.2626,0.00033,0.00107,2024-07-30 20:51:18,0.00973,3.2551,24.9,0,0
2234,2235,1,6,CC Chg,00:06:38,00:37:07,0.00298,3.2635,0.00033,0.00107,2024-07-30 20:51:19,0.00973,3.2629,24.9,0,0
2235,2236,1,6,CC Chg,00:06:39,00:37:08,0.00298,3.2583,0.00033,0.00108,2024-07-30 20:51:20,0.00972,3.258,24.9,0,0
2236,2237,1,6,CC Chg,00:06:40,00:37:09,0.00298,3.2595,0.00033,0.00108,2024-07-30 20:51:21,0.00972,3.2529,24.9,0,0
2237,2238,1,6,CC Chg,00:06:41,00:37:10,0.00298,3.2567,0.00033,0.00108,2024-07-30 20:51:22,0.00971,3.2595,24.7,0,0
2238,2239,1,6,CC Chg,00:06:42,00:37:11,0.00298,3.2617,0.00033,0.00109,2024-07-30 20:51:23,0.00973,3.2581,24.9,0,0
2239,2240,1,6,CC Chg,00:06:43,00:37:12,0.00298,3.261,0.00033,0.00109,2024-07-30 20:51:24,0.00972,3.2538,24.7,0,0
2240,2241,1,6,CC Chg,00:06:44,00:37:13,0.00298,3.2682,0.00033,0.00109,2024-07-30 20:51:25,0.00975,3.2614,24.9,0,0
2241,2242,1,6,CC Chg,00:06:45,00:37:14,0.00298,3.2626,0.00034,0.00109,2024-07-30 20:51:26,0.00973,3.2578,24.9,0,0
2242,2243,1,6,CC Chg,00:06:46,00:37:15,0.00298,3.2657,0.00034,0.0011,2024-07-30 20:51:27,0.00974,3.2555,24.9,0,0
2243,2244,1,6,CC Chg,00:06:47,00:37:16,0.00298,3.261,0.00034,0.0011,2024-07-30 20:51:28,0.00972,3.2584,24.9,0,0
2244,2245,1,6,CC Chg,00:06:48,00:37:17,0.00298,3.266,0.00034,0.0011,2024-07-30 20:51:29,0.00974,3.254,24.9,0,0
2245,2246,1,6,CC Chg,00:06:49,00:37:18,0.00298,3.2598,0.00034,0.0011,2024-07-30 20:51:30,0.00972,3.2614,24.9,0,0
2246,2247,1,6,CC Chg,00:06:50,00:37:19,0.00298,3.2672,0.00034,0.00111,2024-07-30 20:51:31,0.00974,3.2572,24.9,0,0
2247,2248,1,6,CC Chg,00:06:51,00:37:20,0.00298,3.2635,0.00034,0.00111,2024-07-30 20:51:32,0.00973,3.2537,24.9,0,0
2248,2249,1,6,CC Chg,00:06:52,00:37:21,0.00298,3.262,0.00034,0.00111,2024-07-30 20:51:33,0.00973,3.2532,24.9,0,0
2249,2250,1,6,CC Chg,00:06:53,00:37:22,0.00298,3.2592,0.00034,0.00112,2024-07-30 20:51:34,0.00972,3.2554,24.7,0,0
2250,2251,1,6,CC Chg,00:06:54,00:37:23,0.00298,3.2635,0.00034,0.00112,2024-07-30 20:51:35,0.00973,3.2567,24.9,0,0
2251,2252,1,6,CC Chg,00:06:55,00:37:24,0.00298,3.2583,0.00034,0.00112,2024-07-30 20:51:36,0.00972,3.2587,24.9,0,0
2252,2253,1,6,CC Chg,00:06:56,00:37:25,0.00298,3.2592,0.00034,0.00112,2024-07-30 20:51:37,0.00972,3.2557,24.9,0,0
2253,2254,1,6,CC Chg,00:06:57,00:37:26,0.00298,3.2632,0.00035,0.00113,2024-07-30 20:51:38,0.00973,3.2537,24.7,0,0
2254,2255,1,6,CC Chg,00:06:58,00:37:27,0.00298,3.2564,0.00035,0.00113,2024-07-30 20:51:39,0.00971,3.2578,24.9,0,0
2255,2256,1,6,CC Chg,00:06:59,00:37:28,0.00298,3.2626,0.00035,0.00113,2024-07-30 20:51:40,0.00973,3.2567,24.7,0,0
2256,2257,1,6,CC Chg,00:07:00,00:37:29,0.00298,3.2576,0.00035,0.00113,2024-07-30 20:51:41,0.00971,3.2555,24.9,0,0
2257,2258,1,6,CC Chg,00:07:01,00:37:30,0.00298,3.266,0.00035,0.00114,2024-07-30 20:51:42,0.00974,3.2595,24.9,0,0
2258,2259,1,6,CC Chg,00:07:02,00:37:31,0.00298,3.2601,0.00035,0.00114,2024-07-30 20:51:43,0.00972,3.2567,24.7,0,0
2259,2260,1,6,CC Chg,00:07:03,00:37:32,0.00298,3.2666,0.00035,0.00114,2024-07-30 20:51:44,0.00974,3.2551,24.9,0,0
2260,2261,1,6,CC Chg,00:07:04,00:37:33,0.00298,3.2635,0.00035,0.00114,2024-07-30 20:51:45,0.00973,3.2597,24.9,0,0
2261,2262,1,6,CC Chg,00:07:05,00:37:34,0.00298,3.2617,0.00035,0.00115,2024-07-30 20:51:46,0.00973,3.2578,24.9,0,0
2262,2263,1,6,CC Chg,00:07:06,00:37:35,0.00298,3.2635,0.00035,0.00115,2024-07-30 20:51:47,0.00973,3.2589,24.9,0,0
2263,2264,1,6,CC Chg,00:07:07,00:37:36,0.00298,3.2583,0.00035,0.00115,2024-07-30 20:51:48,0.00972,3.2561,24.7,0,0
2264,2265,1,6,CC Chg,00:07:08,00:37:37,0.00298,3.2595,0.00035,0.00116,2024-07-30 20:51:49,0.00972,3.2554,24.9,0,0
2265,2266,1,6,CC Chg,00:07:09,00:37:38,0.00298,3.2576,0.00036,0.00116,2024-07-30 20:51:50,0.00971,3.2615,24.9,0,0
2266,2267,1,6,CC Chg,00:07:10,00:37:39,0.00298,3.2672,0.00036,0.00116,2024-07-30 20:51:51,0.00974,3.2552,24.9,0,0
2267,2268,1,6,CC Chg,00:07:11,00:37:40,0.00298,3.2617,0.00036,0.00116,2024-07-30 20:51:52,0.00973,3.2549,24.7,0,0
2268,2269,1,6,CC Chg,00:07:12,00:37:41,0.00298,3.262,0.00036,0.00117,2024-07-30 20:51:53,0.00973,3.2638,24.7,0,0
2269,2270,1,6,CC Chg,00:07:13,00:37:42,0.00298,3.2638,0.00036,0.00117,2024-07-30 20:51:54,0.00973,3.2594,24.9,0,0
2270,2271,1,6,CC Chg,00:07:14,00:37:43,0.00298,3.2595,0.00036,0.00117,2024-07-30 20:51:55,0.00972,3.2551,24.9,0,0
2271,2272,1,6,CC Chg,00:07:15,00:37:44,0.00298,3.2589,0.00036,0.00117,2024-07-30 20:51:56,0.00972,3.2629,24.7,0,0
2272,2273,1,6,CC Chg,00:07:16,00:37:45,0.00298,3.2586,0.00036,0.00118,2024-07-30 20:51:57,0.00972,3.2607,24.7,0,0
2273,2274,1,6,CC Chg,00:07:17,00:37:46,0.00298,3.2651,0.00036,0.00118,2024-07-30 20:51:58,0.00974,3.2578,24.9,0,0
2274,2275,1,6,CC Chg,00:07:18,00:37:47,0.00298,3.2607,0.00036,0.00118,2024-07-30 20:51:59,0.00972,3.256,24.9,0,0
2275,2276,1,6,CC Chg,00:07:19,00:37:48,0.00298,3.2638,0.00036,0.00119,2024-07-30 20:52:00,0.00973,3.2581,24.7,0,0
2276,2277,1,6,CC Chg,00:07:20,00:37:49,0.00298,3.266,0.00036,0.00119,2024-07-30 20:52:01,0.00974,3.2586,24.9,0,0
2277,2278,1,6,CC Chg,00:07:21,00:37:50,0.00298,3.2635,0.00037,0.00119,2024-07-30 20:52:02,0.00973,3.2537,24.9,0,0
2278,2279,1,6,CC Chg,00:07:22,00:37:51,0.00298,3.2595,0.00037,0.00119,2024-07-30 20:52:03,0.00972,3.2603,24.9,0,0
2279,2280,1,6,CC Chg,00:07:23,00:37:52,0.00298,3.261,0.00037,0.0012,2024-07-30 20:52:04,0.00972,3.2587,24.9,0,0
2280,2281,1,6,CC Chg,00:07:24,00:37:53,0.00298,3.2598,0.00037,0.0012,2024-07-30 20:52:05,0.00972,3.2566,24.9,0,0
2281,2282,1,6,CC Chg,00:07:25,00:37:54,0.00298,3.2583,0.00037,0.0012,2024-07-30 20:52:06,0.00972,3.2615,24.9,0,0
2282,2283,1,6,CC Chg,00:07:26,00:37:55,0.00298,3.2648,0.00037,0.0012,2024-07-30 20:52:07,0.00974,3.2572,24.7,0,0
2283,2284,1,6,CC Chg,00:07:27,00:37:56,0.00298,3.2576,0.00037,0.00121,2024-07-30 20:52:08,0.00971,3.2554,24.9,0,0
2284,2285,1,6,CC Chg,00:07:28,00:37:57,0.00298,3.2604,0.00037,0.00121,2024-07-30 20:52:09,0.00972,3.2591,24.9,0,0
2285,2286,1,6,CC Chg,00:07:29,00:37:58,0.00298,3.2601,0.00037,0.00121,2024-07-30 20:52:10,0.00972,3.2563,24.7,0,0
2286,2287,1,6,CC Chg,00:07:30,00:37:59,0.00298,3.2679,0.00037,0.00122,2024-07-30 20:52:11,0.00974,3.2575,24.9,0,0
2287,2288,1,6,CC Chg,00:07:31,00:38:00,0.00298,3.261,0.00037,0.00122,2024-07-30 20:52:12,0.00972,3.2595,24.9,0,0
2288,2289,1,6,CC Chg,00:07:32,00:38:01,0.00298,3.2635,0.00037,0.00122,2024-07-30 20:52:13,0.00973,3.2563,24.7,0,0
2289,2290,1,6,CC Chg,00:07:33,00:38:02,0.00298,3.2654,0.00038,0.00122,2024-07-30 20:52:14,0.00974,3.2612,24.7,0,0
2290,2291,1,6,CC Chg,00:07:34,00:38:03,0.00298,3.262,0.00038,0.00123,2024-07-30 20:52:15,0.00973,3.2571,24.9,0,0
2291,2292,1,6,CC Chg,00:07:35,00:38:04,0.00298,3.2632,0.00038,0.00123,2024-07-30 20:52:16,0.00973,3.2532,24.7,0,0
2292,2293,1,6,CC Chg,00:07:36,00:38:05,0.00298,3.2579,0.00038,0.00123,2024-07-30 20:52:17,0.00972,3.2658,24.7,0,0
2293,2294,1,6,CC Chg,00:07:37,00:38:06,0.00298,3.2592,0.00038,0.00123,2024-07-30 20:52:18,0.00972,3.2609,24.9,0,0
2294,2295,1,6,CC Chg,00:07:38,00:38:07,0.00298,3.2567,0.00038,0.00124,2024-07-30 20:52:19,0.00971,3.2551,24.7,0,0
2295,2296,1,6,CC Chg,00:07:39,00:38:08,0.00298,3.2638,0.00038,0.00124,2024-07-30 20:52:20,0.00973,3.2586,24.9,0,0
2296,2297,1,6,CC Chg,00:07:40,00:38:09,0.00298,3.2583,0.00038,0.00124,2024-07-30 20:52:21,0.00972,3.2577,24.9,0,0
2297,2298,1,6,CC Chg,00:07:41,00:38:10,0.00298,3.2648,0.00038,0.00124,2024-07-30 20:52:22,0.00974,3.2564,24.9,0,0
2298,2299,1,6,CC Chg,00:07:42,00:38:11,0.00298,3.2598,0.00038,0.00125,2024-07-30 20:52:23,0.00972,3.2601,24.9,0,0
2299,2300,1,6,CC Chg,00:07:43,00:38:12,0.00298,3.2676,0.00038,0.00125,2024-07-30 20:52:24,0.00974,3.2575,24.9,0,0
2300,2301,1,6,CC Chg,00:07:44,00:38:13,0.00298,3.2604,0.00038,0.00125,2024-07-30 20:52:25,0.00972,3.2567,24.9,0,0
2301,2302,1,6,CC Chg,00:07:45,00:38:14,0.00298,3.2688,0.00039,0.00126,2024-07-30 20:52:26,0.00975,3.2575,24.9,0,0
2302,2303,1,6,CC Chg,00:07:46,00:38:15,0.00298,3.262,0.00039,0.00126,2024-07-30 20:52:27,0.00973,3.2575,24.9,0,0
2303,2304,1,6,CC Chg,00:07:47,00:38:16,0.00298,3.2691,0.00039,0.00126,2024-07-30 20:52:28,0.00975,3.2571,24.9,0,0
2304,2305,1,6,CC Chg,00:07:48,00:38:17,0.00298,3.2632,0.00039,0.00126,2024-07-30 20:52:29,0.00973,3.2552,24.9,0,0
2305,2306,1,6,CC Chg,00:07:49,00:38:18,0.00298,3.2623,0.00039,0.00127,2024-07-30 20:52:30,0.00973,3.264,24.7,0,0
2306,2307,1,6,CC Chg,00:07:50,00:38:19,0.00298,3.2604,0.00039,0.00127,2024-07-30 20:52:31,0.00972,3.2575,24.9,0,0
2307,2308,1,6,CC Chg,00:07:51,00:38:20,0.00298,3.2617,0.00039,0.00127,2024-07-30 20:52:32,0.00973,3.2549,24.9,0,0
2308,2309,1,6,CC Chg,00:07:52,00:38:21,0.00298,3.2648,0.00039,0.00127,2024-07-30 20:52:33,0.00974,3.2641,24.7,0,0
2309,2310,1,6,CC Chg,00:07:53,00:38:22,0.00298,3.2592,0.00039,0.00128,2024-07-30 20:52:34,0.00972,3.2577,24.9,0,0
2310,2311,1,6,CC Chg,00:07:54,00:38:23,0.00298,3.2638,0.00039,0.00128,2024-07-30 20:52:35,0.00973,3.2541,24.7,0,0
2311,2312,1,6,CC Chg,00:07:55,00:38:24,0.00298,3.2589,0.00039,0.00128,2024-07-30 20:52:36,0.00972,3.2606,24.9,0,0
2312,2313,1,6,CC Chg,00:07:56,00:38:25,0.00298,3.2601,0.00039,0.00129,2024-07-30 20:52:37,0.00972,3.2575,24.7,0,0
2313,2314,1,6,CC Chg,00:07:57,00:38:26,0.00298,3.2567,0.0004,0.00129,2024-07-30 20:52:38,0.00971,3.2566,24.9,0,0
2314,2315,1,6,CC Chg,00:07:58,00:38:27,0.00298,3.2669,0.0004,0.00129,2024-07-30 20:52:39,0.00974,3.2589,24.7,0,0
2315,2316,1,6,CC Chg,00:07:59,00:38:28,0.00298,3.261,0.0004,0.00129,2024-07-30 20:52:40,0.00972,3.2574,24.9,0,0
2316,2317,1,6,CC Chg,00:08:00,00:38:29,0.00298,3.2685,0.0004,0.0013,2024-07-30 20:52:41,0.00975,3.2618,24.9,0,0
2317,2318,1,6,CC Chg,00:08:01,00:38:30,0.00298,3.2617,0.0004,0.0013,2024-07-30 20:52:42,0.00973,3.2584,24.9,0,0
2318,2319,1,6,CC Chg,00:08:02,00:38:31,0.00298,3.2666,0.0004,0.0013,2024-07-30 20:52:43,0.00974,3.2578,24.9,0,0
2319,2320,1,6,CC Chg,00:08:03,00:38:32,0.00298,3.261,0.0004,0.0013,2024-07-30 20:52:44,0.00972,3.2589,24.9,0,0
2320,2321,1,6,CC Chg,00:08:04,00:38:33,0.00298,3.2638,0.0004,0.00131,2024-07-30 20:52:45,0.00973,3.2555,24.9,0,0
2321,2322,1,6,CC Chg,00:08:05,00:38:34,0.00298,3.2601,0.0004,0.00131,2024-07-30 20:52:46,0.00972,3.2615,24.7,0,0
2322,2323,1,6,CC Chg,00:08:06,00:38:35,0.00298,3.2601,0.0004,0.00131,2024-07-30 20:52:47,0.00972,3.258,24.9,0,0
2323,2324,1,6,CC Chg,00:08:07,00:38:36,0.00298,3.2657,0.0004,0.00132,2024-07-30 20:52:48,0.00974,3.2571,24.9,0,0
2324,2325,1,6,CC Chg,00:08:08,00:38:37,0.00298,3.2629,0.0004,0.00132,2024-07-30 20:52:49,0.00973,3.2624,24.9,0,0
2325,2326,1,6,CC Chg,00:08:09,00:38:38,0.00298,3.2604,0.00041,0.00132,2024-07-30 20:52:50,0.00972,3.2626,24.7,0,0
2326,2327,1,6,CC Chg,00:08:10,00:38:39,0.00298,3.2595,0.00041,0.00132,2024-07-30 20:52:51,0.00972,3.2566,24.7,0,0
2327,2328,1,6,CC Chg,00:08:11,00:38:40,0.00298,3.2598,0.00041,0.00133,2024-07-30 20:52:52,0.00972,3.2646,24.7,0,0
2328,2329,1,6,CC Chg,00:08:12,00:38:41,0.00298,3.2592,0.00041,0.00133,2024-07-30 20:52:53,0.00972,3.2614,24.9,0,0
2329,2330,1,6,CC Chg,00:08:13,00:38:42,0.00298,3.2691,0.00041,0.00133,2024-07-30 20:52:54,0.00975,3.2571,24.7,0,0
2330,2331,1,6,CC Chg,00:08:14,00:38:43,0.00298,3.2635,0.00041,0.00133,2024-07-30 20:52:55,0.00973,3.2561,24.7,0,0
2331,2332,1,6,CC Chg,00:08:15,00:38:44,0.00298,3.2614,0.00041,0.00134,2024-07-30 20:52:56,0.00973,3.2601,24.9,0,0
2332,2333,1,6,CC Chg,00:08:16,00:38:45,0.00298,3.2598,0.00041,0.00134,2024-07-30 20:52:57,0.00972,3.2592,24.7,0,0
2333,2334,1,6,CC Chg,00:08:17,00:38:46,0.00298,3.2598,0.00041,0.00134,2024-07-30 20:52:58,0.00972,3.2558,24.9,0,0
2334,2335,1,6,CC Chg,00:08:18,00:38:47,0.00298,3.2676,0.00041,0.00134,2024-07-30 20:52:59,0.00974,3.2564,24.7,0,0
2335,2336,1,6,CC Chg,00:08:19,00:38:48,0.00298,3.261,0.00041,0.00135,2024-07-30 20:53:00,0.00972,3.2606,24.7,0,0
2336,2337,1,6,CC Chg,00:08:20,00:38:49,0.00298,3.2632,0.00041,0.00135,2024-07-30 20:53:01,0.00973,3.2587,24.7,0,0
2337,2338,1,6,CC Chg,00:08:21,00:38:50,0.00298,3.2651,0.00041,0.00135,2024-07-30 20:53:02,0.00974,3.2574,24.9,0,0
2338,2339,1,6,CC Chg,00:08:22,00:38:51,0.00298,3.2586,0.00042,0.00136,2024-07-30 20:53:03,0.00972,3.2598,24.9,0,0
2339,2340,1,6,CC Chg,00:08:23,00:38:52,0.00298,3.266,0.00042,0.00136,2024-07-30 20:53:04,0.00974,3.2603,24.9,0,0
2340,2341,1,6,CC Chg,00:08:24,00:38:53,0.00298,3.2598,0.00042,0.00136,2024-07-30 20:53:05,0.00972,3.256,24.9,0,0
2341,2342,1,6,CC Chg,00:08:25,00:38:54,0.00298,3.2679,0.00042,0.00136,2024-07-30 20:53:06,0.00974,3.2564,24.7,0,0
2342,2343,1,6,CC Chg,00:08:26,00:38:55,0.00298,3.2604,0.00042,0.00137,2024-07-30 20:53:07,0.00972,3.2621,24.9,0,0
2343,2344,1,6,CC Chg,00:08:27,00:38:56,0.00298,3.2632,0.00042,0.00137,2024-07-30 20:53:08,0.00973,3.2571,24.7,0,0
2344,2345,1,6,CC Chg,00:08:28,00:38:57,0.00298,3.2654,0.00042,0.00137,2024-07-30 20:53:09,0.00974,3.2581,24.9,0,0
2345,2346,1,6,CC Chg,00:08:29,00:38:58,0.00298,3.2598,0.00042,0.00137,2024-07-30 20:53:10,0.00972,3.2626,24.7,0,0
2346,2347,1,6,CC Chg,00:08:30,00:38:59,0.00298,3.2638,0.00042,0.00138,2024-07-30 20:53:11,0.00973,3.2575,24.9,0,0
2347,2348,1,6,CC Chg,00:08:31,00:39:00,0.00298,3.2589,0.00042,0.00138,2024-07-30 20:53:12,0.00972,3.2595,24.9,0,0
2348,2349,1,6,CC Chg,00:08:32,00:39:01,0.00298,3.2679,0.00042,0.00138,2024-07-30 20:53:13,0.00974,3.2604,24.9,0,0
2349,2350,1,6,CC Chg,00:08:33,00:39:02,0.00298,3.2607,0.00042,0.00139,2024-07-30 20:53:14,0.00972,3.2566,24.9,0,0
2350,2351,1,6,CC Chg,00:08:34,00:39:03,0.00298,3.2691,0.00043,0.00139,2024-07-30 20:53:15,0.00975,3.2567,24.7,0,0
2351,2352,1,6,CC Chg,00:08:35,00:39:04,0.00298,3.2617,0.00043,0.00139,2024-07-30 20:53:16,0.00973,3.2555,24.7,0,0
2352,2353,1,6,CC Chg,00:08:36,00:39:05,0.00298,3.2614,0.00043,0.00139,2024-07-30 20:53:17,0.00973,3.2572,24.7,0,0
2353,2354,1,6,CC Chg,00:08:37,00:39:06,0.00298,3.2635,0.00043,0.0014,2024-07-30 20:53:18,0.00973,3.2584,24.7,0,0
2354,2355,1,6,CC Chg,00:08:38,00:39:07,0.00298,3.257,0.00043,0.0014,2024-07-30 20:53:19,0.00971,3.2543,24.7,0,0
2355,2356,1,6,CC Chg,00:08:39,00:39:08,0.00298,3.2632,0.00043,0.0014,2024-07-30 20:53:20,0.00973,3.2637,24.7,0,0
2356,2357,1,6,CC Chg,00:08:40,00:39:09,0.00298,3.2586,0.00043,0.0014,2024-07-30 20:53:21,0.00972,3.2587,24.9,0,0
2357,2358,1,6,CC Chg,00:08:41,00:39:10,0.00298,3.2601,0.00043,0.00141,2024-07-30 20:53:22,0.00972,3.2551,24.7,0,0
2358,2359,1,6,CC Chg,00:08:42,00:39:11,0.00298,3.2583,0.00043,0.00141,2024-07-30 20:53:23,0.00972,3.2624,24.9,0,0
2359,2360,1,6,CC Chg,00:08:43,00:39:12,0.00298,3.2682,0.00043,0.00141,2024-07-30 20:53:24,0.00975,3.2572,24.9,0,0
2360,2361,1,6,CC Chg,00:08:44,00:39:13,0.00298,3.2623,0.00043,0.00142,2024-07-30 20:53:25,0.00973,3.2558,24.9,0,0
2361,2362,1,6,CC Chg,00:08:45,00:39:14,0.00298,3.2679,0.00043,0.00142,2024-07-30 20:53:26,0.00974,3.2632,24.7,0,0
2362,2363,1,6,CC Chg,00:08:46,00:39:15,0.00298,3.2601,0.00044,0.00142,2024-07-30 20:53:27,0.00972,3.2571,24.7,0,0
2363,2364,1,6,CC Chg,00:08:47,00:39:16,0.00298,3.2645,0.00044,0.00142,2024-07-30 20:53:28,0.00973,3.2547,24.9,0,0
